num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,bijection_time,splitting_time,bucket_time,splitting_tree,unary,fixed,bucket_prefixes
1e+06,1000,7,1.79251,3782290103,1621743256,938746264,2350446406,54431556,1783659,446722,1336937,8852
1e+06,1250,7,1.79387,3987264812,1659577384,938740459,2515906725,71144299,1786718,450327,1336391,7152
1e+06,1250,7,1.79382,3973792410,1675354623,942279439,2521834546,48464375,1786605,450197,1336408,7215
1e+06,1250,7,1.79312,3944413796,1659747379,938619574,2500407927,46759627,1786028,449658,1336370,7096
1e+06,1250,7,1.7934,3984400132,1658275969,937856738,2513974207,71404203,1786331,449952,1336379,7071
1e+06,1250,7,1.79276,3978260391,1655465540,938452938,2502481039,72349801,1785711,449323,1336388,7052
1e+06,1500,7,1.79452,4163265228,1700200461,941447149,2680732071,67860431,1788464,451390,1337074,6054
1e+06,1500,7,1.79349,4147675243,1709645705,938814559,2670314726,65589542,1787507,450438,1337069,5981
1e+06,1500,7,1.79372,4134754517,1696383635,939532515,2648429170,69464941,1787674,450589,1337085,6044
1e+06,1500,7,1.79399,4129207472,1700724408,943004790,2640898344,68142413,1787980,450890,1337090,6007
1e+06,1500,7,1.79289,4201599183,1692990920,937578158,2711125792,74545492,1786811,449723,1337088,6075
1e+06,1750,7,1.79282,4306663000,1724930119,937055502,2816880614,68369423,1787583,448473,1339110,5238
